algorithm,input_type,n,g_label,time_ratio_mean,time_ratio_median,time_ratio_min,time_ratio_max,comparison_ratio_mean,comparison_ratio_median,comparison_ratio_min,comparison_ratio_max
Counting Sort,random,100,n + k,4.56e-06,4.56e-06,4.56e-06,4.56e-06,2.505,2.505,2.505,2.505
Counting Sort,random,1000,n + k,2.1215e-06,2.1215e-06,2.1215e-06,2.1215e-06,2.5005,2.5005,2.5005,2.5005
Counting Sort,random,10000,n + k,4.7696e-06,4.7696e-06,4.7696e-06,4.7696e-06,2.50005,2.50005,2.50005,2.50005
Counting Sort,random,100000,n + k,4.366615e-06,4.366615e-06,4.366615e-06,4.366615e-06,2.49999,2.49999,2.49999,2.49999
Counting Sort,reverse,100,n + k,3.08e-06,3.08e-06,3.08e-06,3.08e-06,2.505,2.505,2.505,2.505
Counting Sort,reverse,1000,n + k,1.7780000000000002e-06,1.7780000000000002e-06,1.7780000000000002e-06,1.7780000000000002e-06,2.5005,2.5005,2.5005,2.5005
Counting Sort,reverse,10000,n + k,4.5734999999999995e-06,4.5734999999999995e-06,4.5734999999999995e-06,4.5734999999999995e-06,2.50005,2.50005,2.50005,2.50005
Counting Sort,reverse,100000,n + k,3.227655e-06,3.227655e-06,3.227655e-06,3.227655e-06,2.500005,2.500005,2.500005,2.500005
Counting Sort,nearly-sorted,100,n + k,3.505e-06,3.505e-06,3.505e-06,3.505e-06,2.505,2.505,2.505,2.505
Counting Sort,nearly-sorted,1000,n + k,2.215e-06,2.215e-06,2.215e-06,2.215e-06,2.5005,2.5005,2.5005,2.5005
Counting Sort,nearly-sorted,10000,n + k,4.61755e-06,4.61755e-06,4.61755e-06,4.61755e-06,2.50005,2.50005,2.50005,2.50005
Counting Sort,nearly-sorted,100000,n + k,3.22815e-06,3.22815e-06,3.22815e-06,3.22815e-06,2.500005,2.500005,2.500005,2.500005
Counting Sort,many_duplicates,100,n + k,9.284313725490197e-06,9.284313725490197e-06,9.284313725490197e-06,9.284313725490197e-06,3.950980392156863,3.950980392156863,3.950980392156863,3.950980392156863
Counting Sort,many_duplicates,1000,n + k,4.396078431372549e-06,4.396078431372549e-06,4.396078431372549e-06,4.396078431372549e-06,3.9421568627450982,3.9421568627450982,3.9421568627450982,3.9421568627450982
Counting Sort,many_duplicates,10000,n + k,3.511862745098039e-06,3.511862745098039e-06,3.511862745098039e-06,3.511862745098039e-06,3.9412745098039217,3.9412745098039217,3.9412745098039217,3.9412745098039217
Counting Sort,many_duplicates,100000,n + k,7.578470588235295e-06,7.578470588235295e-06,7.578470588235295e-06,7.578470588235295e-06,3.941186274509804,3.941186274509804,3.941186274509804,3.941186274509804
